,open,high,low,close,volume,timestamp
42047,165.065,165.0798,164.87,164.93,121682.0,2018-02-14 10:44:00
42048,164.9399,164.99,164.79,164.97,114821.0,2018-02-14 10:45:00
42049,164.96,165.2,164.95,165.2,98841.0,2018-02-14 10:46:00
42050,165.2,165.38,165.19,165.23,137850.0,2018-02-14 10:47:00
42051,165.225,165.28,165.11,165.17,68186.0,2018-02-14 10:48:00
42052,165.18,165.31,165.07,165.07,70123.0,2018-02-14 10:49:00
42053,165.09,165.26,165.07,165.1701,56285.0,2018-02-14 10:50:00
42054,165.18,165.28,165.1,165.24,53761.0,2018-02-14 10:51:00
42055,165.24,165.27,165.16,165.22,47830.0,2018-02-14 10:52:00
42056,165.225,165.25,165.12,165.16,55737.0,2018-02-14 10:53:00
42057,165.17,165.3,165.11,165.29,59228.0,2018-02-14 10:54:00
42058,165.29,165.32,165.16,165.22,68616.0,2018-02-14 10:55:00
42059,165.217,165.26,165.14,165.2,53913.0,2018-02-14 10:56:00
42060,165.2,165.395,165.15,165.37,110046.0,2018-02-14 10:57:00
42061,165.3663,165.4,165.25,165.3843,83062.0,2018-02-14 10:58:00
42062,165.4,165.55,165.35,165.3546,140833.0,2018-02-14 10:59:00
42063,165.37,165.5,165.3,165.38,114146.0,2018-02-14 11:00:00
42064,165.37,165.6,165.35,165.5,145122.0,2018-02-14 11:01:00
42065,165.5011,165.62,165.44,165.4751,91709.0,2018-02-14 11:02:00
42066,165.47,165.6,165.42,165.59,64289.0,2018-02-14 11:03:00
42067,165.5848,165.6699,165.3801,165.38299999999995,100665.0,2018-02-14 11:04:00
42068,165.4,165.5199,165.2201,165.27200000000005,98694.0,2018-02-14 11:05:00
42069,165.28,165.32,165.1035,165.1862,143213.0,2018-02-14 11:06:00
42070,165.17,165.19,165.06,165.1699,84454.0,2018-02-14 11:07:00
42071,165.15,165.19,165.1,165.19,75762.0,2018-02-14 11:08:00
42072,165.19,165.275,165.12,165.155,75999.0,2018-02-14 11:09:00
42073,165.16,165.16,165.03,165.05,86190.0,2018-02-14 11:10:00
42074,165.06,165.15,165.0214,165.1,64141.0,2018-02-14 11:11:00
42075,165.09,165.15,165.02,165.1,78687.0,2018-02-14 11:12:00
42076,165.1,165.13,164.94,165.1,156779.0,2018-02-14 11:13:00
42077,165.11,165.24,165.08,165.21,79954.0,2018-02-14 11:14:00
42078,165.22,165.36,165.205,165.35,98255.0,2018-02-14 11:15:00
42079,165.34,165.38,165.14,165.31,67742.0,2018-02-14 11:16:00
42080,165.3145,165.38,165.2,165.2404,67027.0,2018-02-14 11:17:00
42081,165.24,165.3,165.153,165.24,60129.0,2018-02-14 11:18:00
42082,165.23,165.27,165.16,165.25,43175.0,2018-02-14 11:19:00
42083,165.25,165.37,165.23,165.36,59546.0,2018-02-14 11:20:00
42084,165.37,165.375,165.22,165.255,52238.0,2018-02-14 11:21:00
42085,165.25,165.28,165.04,165.2,84980.0,2018-02-14 11:22:00
42086,165.22,165.46,165.22,165.41,80278.0,2018-02-14 11:23:00
42087,165.41,165.5965,165.4,165.5935,91165.0,2018-02-14 11:24:00
42088,165.59,165.62,165.49,165.49,47605.0,2018-02-14 11:25:00
42089,165.4703,165.545,165.43,165.43,57195.0,2018-02-14 11:26:00
42090,165.4502,165.495,165.35,165.495,66165.0,2018-02-14 11:27:00
42091,165.49,165.68,165.46,165.6779,58560.0,2018-02-14 11:28:00
42092,165.66,165.73,165.49,165.5793,97547.0,2018-02-14 11:29:00
42093,165.57,165.68,165.46,165.55,64081.0,2018-02-14 11:30:00
42094,165.57,165.6699,165.46,165.495,77254.0,2018-02-14 11:31:00
42095,165.47,165.48,165.31,165.41,95261.0,2018-02-14 11:32:00
42096,165.4124,165.44,165.31,165.38,44755.0,2018-02-14 11:33:00
42097,165.39,165.415,165.33,165.37,24058.0,2018-02-14 11:34:00
42098,165.38,165.4,165.3,165.35,55419.0,2018-02-14 11:35:00
42099,165.37,165.53,165.34,165.47,98215.0,2018-02-14 11:36:00
42100,165.47,165.52,165.37,165.41,66692.0,2018-02-14 11:37:00
42101,165.42,165.5,165.34,165.36,77183.0,2018-02-14 11:38:00
42102,165.355,165.58,165.35,165.56,86583.0,2018-02-14 11:39:00
42103,165.59,165.69,165.56,165.685,86793.0,2018-02-14 11:40:00
42104,165.69,165.7,165.57,165.59,43959.0,2018-02-14 11:41:00
42105,165.5966,165.81,165.595,165.77,98586.0,2018-02-14 11:42:00
42106,165.76,165.785,165.69,165.72,67211.0,2018-02-14 11:43:00
42107,165.72,165.76,165.6963,165.73,36240.0,2018-02-14 11:44:00
42108,165.73,165.73,165.58,165.64,69107.0,2018-02-14 11:45:00
42109,165.64,165.68,165.6,165.63,51050.0,2018-02-14 11:46:00
42110,165.62,165.7,165.495,165.65,75188.0,2018-02-14 11:47:00
42111,165.65099999999995,165.6955,165.4845,165.56,66859.0,2018-02-14 11:48:00
42112,165.54,165.6249,165.47,165.54,78098.0,2018-02-14 11:49:00
42113,165.5425,165.6,165.43,165.44,76481.0,2018-02-14 11:50:00
42114,165.435,165.47,165.3,165.3,54292.0,2018-02-14 11:51:00
42115,165.3,165.39,165.2263,165.32,56208.0,2018-02-14 11:52:00
42116,165.325,165.39,165.17,165.1854,57412.0,2018-02-14 11:53:00
42117,165.2,165.3,165.18,165.23,55392.0,2018-02-14 11:54:00
42118,165.25,165.42,165.24,165.41,42296.0,2018-02-14 11:55:00
